promoter,sp,codon,scaffold_base,propeptide,nglyc,cai,mrna_5p,rare_clusters,chaperone_load,promoter_sp_prior,concordance_n,composite,top20_cai,top20_mrna_5p,top20_chaperone_load,top20_promoter_sp_prior
PglaA,SPamyB,high_gc,direct_3xAla_pts1blk,prop_native,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPamyB,high_gc,direct_3xAla_pts1blk,prop_synth_flex,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPamyB,high_gc,direct_his6_pts1ok,prop_none,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPamyB,high_gc,direct_his6_pts1ok,prop_native,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPamyB,high_gc,direct_his6_pts1ok,prop_synth_flex,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPglaA_pro,cai_max,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPglaA_pro,cai_max,direct_3xAla_pts1blk,prop_native,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPglaA_pro,cai_max,direct_3xAla_pts1blk,prop_synth_flex,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPglaA_pro,cai_max,direct_his6_pts1ok,prop_none,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPglaA_pro,cai_max,direct_his6_pts1ok,prop_native,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPglaA_pro,cai_max,direct_his6_pts1ok,prop_synth_flex,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPglaA_pro,high_gc,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPglaA_pro,high_gc,direct_3xAla_pts1blk,prop_native,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPglaA_pro,high_gc,direct_3xAla_pts1blk,prop_synth_flex,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPglaA_pro,high_gc,direct_his6_pts1ok,prop_none,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPglaA_pro,high_gc,direct_his6_pts1ok,prop_native,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
PglaA,SPglaA_pro,high_gc,direct_his6_pts1ok,prop_synth_flex,nglyc_ablated,1.00000,0.59444,0,0.00000,0.85000,3,0.77067,1,0,1,1
