promoter,sp,codon,scaffold_base,propeptide,nglyc,cai,mfe,chaperone_load,promoter_sp_prior,esm_pLDDT,top20_cai,top20_mfe,top20_chaperone_load,top20_promoter_sp_prior,top20_esm,concordance_n5,composite_v1
PamyB,SPglaA,high_gc,direct_his6_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-18.0000,3.7000,0.9515,88.7900,1,1,1,1,0,4,0.8533
PglaA,SPamyB_pro,5p_softened,direct_3xAla_pts1blk,none,nglyc_native,0.8877,-17.8000,3.6000,0.8500,89.4900,0,1,1,1,1,4,0.8521
PglaA,SPamyB_pro,5p_softened,direct_3xAla_pts1blk,none,nglyc_ablated,0.8877,-17.8000,3.6000,0.8500,89.4900,0,1,1,1,1,4,0.8521
PglaA,SPamyB,5p_softened,direct_3xAla_pts1blk,none,nglyc_native,0.8877,-18.0000,3.6000,0.8252,89.5800,0,1,1,1,1,4,0.8515
PglaA,SPamyB,5p_softened,direct_3xAla_pts1blk,none,nglyc_ablated,0.8877,-18.0000,3.6000,0.8252,89.5800,0,1,1,1,1,4,0.8515
PgpdA,SPamyB,cai_max,direct_his6_pts1ok,none,nglyc_native,1.0000,-13.3000,3.6000,0.5340,89.8500,1,1,1,0,1,4,0.8513
PgpdA,SPamyB,cai_max,direct_his6_pts1ok,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.5340,89.8500,1,1,1,0,1,4,0.8513
PgpdA,SPamyB,high_gc,direct_his6_pts1ok,none,nglyc_native,1.0000,-13.3000,3.6000,0.5340,89.8500,1,1,1,0,1,4,0.8513
PgpdA,SPamyB,high_gc,direct_his6_pts1ok,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.5340,89.8500,1,1,1,0,1,4,0.8513
PglaA,SPamyB_pro,cai_max,direct_3xAla_pts1blk,short_kex2_pro,nglyc_native,1.0000,-19.7000,3.7000,0.8500,89.2200,1,0,1,1,1,4,0.8509
PglaA,SPamyB_pro,cai_max,direct_3xAla_pts1blk,short_kex2_pro,nglyc_ablated,1.0000,-19.7000,3.7000,0.8500,89.2200,1,0,1,1,1,4,0.8509
PglaA,SPamyB_pro,high_gc,direct_3xAla_pts1blk,short_kex2_pro,nglyc_native,1.0000,-19.7000,3.7000,0.8500,89.2200,1,0,1,1,1,4,0.8509
PglaA,SPamyB_pro,high_gc,direct_3xAla_pts1blk,short_kex2_pro,nglyc_ablated,1.0000,-19.7000,3.7000,0.8500,89.2200,1,0,1,1,1,4,0.8509
PamyB,SPglaA,cai_max,direct_natag_pts1ok,short_kex2_pro,nglyc_native,1.0000,-18.0000,3.7000,0.9515,88.7400,1,1,1,1,0,4,0.8487
PamyB,SPglaA,cai_max,direct_natag_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-18.0000,3.7000,0.9515,88.7400,1,1,1,1,0,4,0.8487
PamyB,SPglaA,high_gc,direct_natag_pts1ok,short_kex2_pro,nglyc_native,1.0000,-18.0000,3.7000,0.9515,88.7400,1,1,1,1,0,4,0.8487
PamyB,SPglaA,high_gc,direct_natag_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-18.0000,3.7000,0.9515,88.7400,1,1,1,1,0,4,0.8487
PamyB,SPalpA,cai_max,direct_his6_pts1ok,none,nglyc_native,1.0000,-23.7000,3.6000,0.7961,89.6200,1,0,1,1,1,4,0.8485
PamyB,SPalpA,cai_max,direct_his6_pts1ok,none,nglyc_ablated,1.0000,-23.7000,3.6000,0.7961,89.6200,1,0,1,1,1,4,0.8485
PamyB,SPalpA,high_gc,direct_his6_pts1ok,none,nglyc_native,1.0000,-23.7000,3.6000,0.7961,89.6200,1,0,1,1,1,4,0.8485
PamyB,SPalpA,high_gc,direct_his6_pts1ok,none,nglyc_ablated,1.0000,-23.7000,3.6000,0.7961,89.6200,1,0,1,1,1,4,0.8485
PamyB,SPlipase,cai_max,direct_natag_pts1ok,none,nglyc_native,1.0000,-20.5000,3.6000,0.7767,89.4700,1,0,1,1,1,4,0.8481
PamyB,SPlipase,cai_max,direct_natag_pts1ok,none,nglyc_ablated,1.0000,-20.5000,3.6000,0.7767,89.4700,1,0,1,1,1,4,0.8481
PamyB,SPlipase,high_gc,direct_natag_pts1ok,none,nglyc_native,1.0000,-20.5000,3.6000,0.7767,89.4700,1,0,1,1,1,4,0.8481
PamyB,SPlipase,high_gc,direct_natag_pts1ok,none,nglyc_ablated,1.0000,-20.5000,3.6000,0.7767,89.4700,1,0,1,1,1,4,0.8481
PamyB,SPamyB,5p_softened_balanced,direct_his6_pts1ok,none,nglyc_native,0.6618,-18.0000,3.6000,0.9709,89.8500,0,1,1,1,1,4,0.8473
PamyB,SPamyB,5p_softened_balanced,direct_his6_pts1ok,none,nglyc_ablated,0.6618,-18.0000,3.6000,0.9709,89.8500,0,1,1,1,1,4,0.8473
PenoA,SPamyB,cai_max,direct_natag_pts1ok,short_kex2_pro,nglyc_native,1.0000,-13.3000,3.7000,0.6796,89.3300,1,1,1,0,1,4,0.8470
PenoA,SPamyB,cai_max,direct_natag_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-13.3000,3.7000,0.6796,89.3300,1,1,1,0,1,4,0.8470
PenoA,SPamyB,high_gc,direct_natag_pts1ok,short_kex2_pro,nglyc_native,1.0000,-13.3000,3.7000,0.6796,89.3300,1,1,1,0,1,4,0.8470
PenoA,SPamyB,high_gc,direct_natag_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-13.3000,3.7000,0.6796,89.3300,1,1,1,0,1,4,0.8470
PglaA,SPamyB_pro,5p_softened,direct_his6_pts1ok,short_kex2_pro,nglyc_native,0.8877,-17.8000,3.7000,0.8500,89.4400,0,1,1,1,1,4,0.8458
PglaA,SPamyB_pro,5p_softened,direct_his6_pts1ok,short_kex2_pro,nglyc_ablated,0.8877,-17.8000,3.7000,0.8500,89.4400,0,1,1,1,1,4,0.8458
PamyB,SPamyB_pro,5p_softened_balanced,direct_his6_pts1ok,none,nglyc_native,0.6618,-17.8000,3.6000,1.0000,89.7200,0,1,1,1,1,4,0.8456
PamyB,SPamyB_pro,5p_softened_balanced,direct_his6_pts1ok,none,nglyc_ablated,0.6618,-17.8000,3.6000,1.0000,89.7200,0,1,1,1,1,4,0.8456
